customerId,RG_case,Missing_Daily_Transactions,CountryName,LanguageName,Gender,YearofBirth,age_at_registration,sum_stakes_fixedodds,sum_bets_fixedodds,bettingdays_fixedodds,duration_fixedodds,frequency_fixedodds,bets_per_day_fixedodds,euros_per_bet_fixedodds,net_loss_fixedodds,percent_lost_fixedodds,sum_stakes_liveaction,sum_bets_liveaction,bettingdays_liveaction,duration_liveaction,frequency_liveaction,bets_per_day_liveaction,euros_per_bet_liveaction,net_loss_liveaction,percent_lost_liveaction,sum_stakes_casino,sum_bets_casino,bettingdays_casino,duration_casino,frequency_casino,bets_per_day_casino,euros_per_bet_casino,net_loss_casino,percent_lost_casino,net_loss_fixedodds_nonzero,percent_lost_fixedodds_nonzero,net_loss_liveaction_nonzero,percent_lost_liveaction_nonzero,net_loss_casino_nonzero,percent_lost_casino_nonzero,sum_stakes_fixedodds_sqrt,sum_bets_fixedodds_sqrt,bettingdays_fixedodds_sqrt,duration_fixedodds_sqrt,frequency_fixedodds_sqrt,bets_per_day_fixedodds_sqrt,euros_per_bet_fixedodds_sqrt,net_loss_fixedodds_nonzero_sqrt,percent_lost_fixedodds_nonzero_sqrt,sum_stakes_liveaction_sqrt,sum_bets_liveaction_sqrt,bettingdays_liveaction_sqrt,duration_liveaction_sqrt,frequency_liveaction_sqrt,bets_per_day_liveaction_sqrt,euros_per_bet_liveaction_sqrt,net_loss_liveaction_nonzero_sqrt,percent_lost_liveaction_nonzero_sqrt,sum_stakes_casino_sqrt,sum_bets_casino_sqrt,bettingdays_casino_sqrt,duration_casino_sqrt,frequency_casino_sqrt,bets_per_day_casino_sqrt,euros_per_bet_casino_sqrt,net_loss_casino_nonzero_sqrt,percent_lost_casino_nonzero_sqrt,sum_stakes_fixedodds_sqrt_zeros,sum_bets_fixedodds_sqrt_zeros,bettingdays_fixedodds_sqrt_zeros,duration_fixedodds_sqrt_zeros,frequency_fixedodds_sqrt_zeros,bets_per_day_fixedodds_sqrt_zeros,euros_per_bet_fixedodds_sqrt_zeros,net_loss_fixedodds_sqrt_zeros,percent_lost_fixedodds_sqrt_zeros,sum_stakes_liveaction_sqrt_zeros,sum_bets_liveaction_sqrt_zeros,bettingdays_liveaction_sqrt_zeros,duration_liveaction_sqrt_zeros,frequency_liveaction_sqrt_zeros,bets_per_day_liveaction_sqrt_zeros,euros_per_bet_liveaction_sqrt_zeros,net_loss_liveaction_sqrt_zeros,percent_lost_liveaction_sqrt_zeros,sum_stakes_casino_sqrt_zeros,sum_bets_casino_sqrt_zeros,bettingdays_casino_sqrt_zeros,duration_casino_sqrt_zeros,frequency_casino_sqrt_zeros,bets_per_day_casino_sqrt_zeros,euros_per_bet_casino_sqrt_zeros,net_loss_casino_sqrt_zeros,churn,DaysLastOrder
1237924,0,0,Denmark,English,M,1967,37,0,1,1,1,1,1,0,0,1,2,1,1,1,1,1,2,1,0,33218,14,35853,7,0,1,1,1,1,1,0,182,4,1,1,1,1,1,1,1,189,3,0,1,1,1,1,1,0,182,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,189,3,,,,,,,,,,,,,,,,,,,,TRUE,724
378707,1,0,Austria,German,M,1962,39,929,511,254,3198,0,2,2,850,1,174,55,25,1810,0,2,3,24,0,24024,67496,104,2696,0,649,0,1,0,34068,14,22087,8,37042,7,30,23,16,57,0,1,1,185,4,13,7,5,43,0,1,2,149,3,155,260,10,52,0,25,1,192,3,30,23,16,57,0,1,1,185,4,13,7,5,43,0,1,2,149,3,155,260,10,52,0,25,1,192,TRUE,711
1277143,0,0,Germany,German,F,1970,34,75,28,4,17,0,7,3,75,1,33293,14,9,5,2,4,0,3,2,182,4,9,5,2,4,0,3,2,182,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,703
1006572,1,0,Austria,German,M,1979,24,40194,282,62,2056,0,5,143,15439,0,78205,745,44,1996,0,17,105,15949,0,408303,5236,67,1903,0,78,78,16840,0,49,13,38012,8,52692,7,200,17,8,45,0,2,12,221,4,280,27,7,45,0,4,10,195,3,639,72,8,44,0,9,9,230,3,200,17,8,45,0,2,12,221,4,280,27,7,45,0,4,10,195,3,639,72,8,44,0,9,9,230,TRUE,702
1361415,0,0,Germany,German,F,1979,25,21,9,5,6,1,2,2,18,1,7,3,2,2,1,2,2,7,1,33236,14,22070,9,5,3,2,2,1,1,2,182,4,3,2,1,1,1,1,2,149,3,5,3,2,2,1,1,2,182,4,3,2,1,1,1,1,2,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,TRUE,700
1277104,0,0,Spain,Spanish,M,1976,28,25,13,4,19,0,3,2,15,1,71,41,3,19,0,14,2,25,0,33233,14,22088,8,5,4,2,4,0,2,1,182,4,8,6,2,4,0,4,1,149,3,5,4,2,4,0,2,1,182,4,8,6,2,4,0,4,1,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,TRUE,699
1236874,1,0,Poland,Polish,M,1985,19,110,151,26,1690,0,6,1,92,1,4060,871,186,2045,0,5,5,521,0,74924,11042,87,1624,0,127,7,2,0,33,14,23,8,38,7,11,12,5,41,0,2,1,183,4,64,30,14,45,0,2,2,150,3,274,105,9,40,0,11,3,195,3,11,12,5,41,0,2,1,183,4,64,30,14,45,0,2,2,150,3,274,105,9,40,0,11,3,195,TRUE,690
1430272,1,0,Spain,Spanish,M,1970,34,20210,265,95,594,0,3,76,3815,0,26624,409,93,566,0,4,65,126,0,37033,13,22189,8,142,16,10,24,0,2,9,192,4,163,20,10,24,0,2,8,149,3,142,16,10,24,0,2,9,192,4,163,20,10,24,0,2,8,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,TRUE,689
1441885,0,0,Norway,Norwegian,M,1985,19,1363,15,10,1930,0,2,91,-2073,-2,31145,11,37,4,3,44,0,1,10,176,3,37,4,3,44,0,1,10,176,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,685
1275992,0,0,Denmark,English,M,1985,19,2272,129,27,58,0,5,18,1181,1,65,11,5,8,1,2,6,-4,0,34399,14,22059,8,48,11,5,8,1,2,4,185,4,8,3,2,3,1,1,2,149,3,48,11,5,8,1,2,4,185,4,8,3,2,3,1,1,2,149,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,TRUE,685
